Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
11,83,2016,10,167000.0,1500.0,0,0,12990.0,7,27833.33333333333,69.46299759551162,4800.0,2
41,32,2018,3,114000.0,1800.0,2,1,16750.0,5,28500.0,69.46299759551162,6300.0,2
27,95,2017,3,157600.0,1500.0,0,0,11990.0,6,31520.0,69.46299759551162,4800.0,2
41,24,2014,11,190000.0,1800.0,2,1,8990.0,9,23750.0,69.46299759551162,6300.0,2
41,32,2017,3,119000.0,1800.0,2,1,18790.0,6,23800.0,69.46299759551162,6300.0,2
29,101,2018,3,145000.0,1500.0,0,1,16790.0,5,36250.0,69.46299759551162,4800.0,2
33,68,2016,3,150200.0,1500.0,0,1,13450.0,7,25033.33333333333,69.46299759551162,4800.0,2
20,84,2015,9,149000.0,2500.0,2,1,21750.0,8,21285.714285714286,69.46299759551162,12500.0,2
43,88,2006,10,216000.0,2000.0,4,1,5350.0,17,13500.0,69.46299759551162,9600.0,1
15,101,2016,3,88000.0,1500.0,0,1,15790.0,7,14666.666666666666,69.46299759551162,4800.0,1
43,88,2007,11,320000.0,1600.0,3,0,5999.0,16,21333.33333333333,69.46299759551162,5600.0,2
14,79,2006,4,298000.0,1500.0,0,0,2999.0,17,18625.0,69.46299759551162,4800.0,1
13,41,2017,4,27138.0,1500.0,4,1,13300.0,6,5427.6,69.46299759551162,4800.0,0
33,68,2016,3,140000.0,1500.0,0,1,12400.0,7,23333.33333333333,69.46299759551162,4800.0,2
36,85,2012,10,166000.0,1600.0,0,1,8990.0,11,16600.0,69.46299759551162,5600.0,1
36,114,2009,10,223000.0,2000.0,0,1,8990.0,14,17153.846153846152,69.46299759551162,9600.0,1
41,44,2006,11,198563.0,1400.0,0,1,5350.0,17,12410.1875,69.46299759551162,4480.0,1
44,101,2000,10,202698.0,2800.0,4,1,3999.0,23,9213.545454545454,69.46299759551162,14000.0,0
19,53,2000,9,230000.0,2000.0,0,0,2750.0,23,10454.545454545454,69.46299759551162,9600.0,1
2,9,2018,10,82000.0,2000.0,0,1,34000.0,5,20500.0,69.46299759551162,9600.0,2
43,88,1995,11,250369.0,1800.0,4,0,2700.0,28,9272.925925925923,69.46299759551162,6300.0,0
18,101,2005,10,250632.0,2000.0,3,0,2690.0,18,14743.058823529413,69.46299759551162,9600.0,1
35,101,1998,1,300000.0,1900.0,0,0,1450.0,25,12500.0,69.46299759551162,9120.0,1
36,50,2012,6,165500.0,1200.0,0,0,5100.0,11,16550.0,69.46299759551162,3840.0,1
25,87,2011,9,248000.0,2000.0,4,1,9900.0,12,22545.454545454544,69.46299759551162,9600.0,2
11,52,2016,11,170000.0,1499.0,0,0,8890.0,7,28333.33333333333,69.46299759551162,4796.8,2
33,80,2008,11,245000.0,1500.0,0,0,3600.0,15,17500.0,69.46299759551162,4800.0,1
13,41,1999,11,290000.0,1500.0,4,0,1800.0,24,12608.695652173914,69.46299759551162,4800.0,1
14,121,2014,3,120000.0,200.0,3,1,12000.0,9,15000.0,69.46299759551162,600.0,1
33,101,2007,10,211000.0,1400.0,4,0,2900.0,16,14066.666666666666,69.46299759551162,4480.0,1
1,15,2012,10,166700.0,2000.0,4,1,10200.0,11,16670.0,69.46299759551162,9600.0,1
1,101,2016,4,145000.0,1400.0,1,1,16450.0,7,24166.666666666668,69.46299759551162,4480.0,2
20,36,2014,10,81700.0,1800.0,2,1,12450.0,9,10212.5,69.46299759551162,6300.0,1
41,24,2013,11,142865.0,1400.0,0,0,8700.0,10,15873.888888888889,69.46299759551162,4480.0,1
42,3,2007,10,135865.0,1400.0,4,0,1500.0,16,9057.666666666666,69.46299759551162,4480.0,0
33,62,2013,6,181000.0,1500.0,0,1,7000.0,10,20111.11111111111,69.46299759551162,4800.0,2
36,85,2014,11,155000.0,1400.0,4,1,9700.0,9,19375.0,69.46299759551162,4480.0,1
36,85,2015,10,164000.0,1600.0,0,1,12750.0,8,23428.571428571428,69.46299759551162,5600.0,2
43,101,2010,2,150589.0,1400.0,4,0,7999.0,13,12549.083333333334,69.46299759551162,4480.0,1
11,52,2015,11,152523.0,1500.0,0,1,9300.0,8,21789.0,69.46299759551162,4800.0,2
28,23,2007,11,190000.0,1300.0,0,0,4499.0,16,12666.666666666666,69.46299759551162,4160.0,1
41,26,2014,11,165000.0,2000.0,0,0,15600.0,9,20625.0,69.46299759551162,9600.0,2
2,12,2006,10,260000.0,3000.0,0,1,11000.0,17,16250.0,69.46299759551162,15000.0,1
41,24,2011,4,182251.0,1798.0,2,1,8200.0,12,16568.272727272728,69.46299759551162,6293.0,1
10,101,2008,4,185000.0,1300.0,0,1,3600.0,15,13214.285714285714,69.46299759551162,4160.0,1
3,28,2012,4,187000.0,1300.0,0,0,4600.0,11,18700.0,69.46299759551162,4160.0,1
33,80,2005,10,190000.0,1500.0,0,0,3200.0,18,11176.470588235294,69.46299759551162,4800.0,1
40,101,2005,9,400000.0,2700.0,4,1,5500.0,18,23529.41176470588,69.46299759551162,13500.0,2
43,61,2010,4,225550.0,2000.0,4,1,9650.0,13,18795.83333333333,69.46299759551162,9600.0,1
7,101,2003,4,220000.0,1400.0,4,0,2000.0,20,11578.947368421052,69.46299759551162,4480.0,1
27,21,2003,4,90000.0,1500.0,4,0,1000.0,20,4736.8421052631575,69.46299759551162,4800.0,0
33,62,2013,6,165000.0,1500.0,0,0,7500.0,10,18333.33333333333,69.46299759551162,4800.0,1
13,101,2018,4,36000.0,1500.0,5,1,18499.0,5,9000.0,69.46299759551162,4800.0,0
41,101,2015,6,102000.0,1800.0,4,1,12500.0,8,14571.42857142857,69.46299759551162,6300.0,1
2,9,2004,10,2899.0,2500.0,4,0,6100.0,19,161.05555555555554,69.46299759551162,12500.0,0
25,87,2003,3,208367.0,2000.0,4,0,4600.0,20,10966.684210526317,69.46299759551162,9600.0,1
43,118,2011,6,168000.0,1400.0,4,0,7999.0,12,15272.727272727272,69.46299759551162,4480.0,1
41,101,2019,4,2500.0,1800.0,5,1,18999.0,4,833.3333333333334,69.46299759551162,4500.0,0
43,120,2004,5,190000.0,1896.0,0,0,6300.0,19,10555.555555555557,69.46299759551162,9100.8,1
36,85,2011,11,210000.0,1400.0,4,0,6400.0,12,19090.90909090909,69.46299759551162,4480.0,1
21,101,2014,10,160000.0,2000.0,2,1,12200.0,9,20000.0,69.46299759551162,9600.0,1
33,108,2004,11,180000.0,1500.0,0,0,3300.0,19,10000.0,69.46299759551162,4800.0,0
23,101,1984,11,100000.0,2400.0,0,0,1000.0,39,2631.5789473684213,69.46299759551162,12000.0,0
41,74,2007,3,202000.0,2700.0,3,1,14600.0,16,13466.666666666666,69.46299759551162,13500.0,1
43,90,2017,4,170000.0,1422.0,0,0,8200.0,6,34000.0,69.46299759551162,4550.400000000001,2
43,66,2013,10,198000.0,1400.0,2,1,8400.0,10,22000.0,69.46299759551162,4480.0,2
18,103,2004,11,183454.0,1300.0,4,0,2500.0,19,10191.888888888889,69.46299759551162,4160.0,1
2,130,2013,3,104000.0,2979.0,4,1,30900.0,10,11555.555555555557,69.46299759551162,14895.0,1
41,44,2006,4,119000.0,1600.0,4,1,5700.0,17,7437.5,69.46299759551162,5600.0,0
28,46,2007,4,283000.0,1300.0,0,0,3499.0,16,18866.666666666668,69.46299759551162,4160.0,1
41,24,2017,4,146000.0,1800.0,2,1,11900.0,6,29200.0,69.46299759551162,6300.0,2
27,95,2009,3,202000.0,1990.0,4,0,7100.0,14,15538.46153846154,69.46299759551162,9552.0,1
11,33,2016,5,141000.0,1500.0,0,0,9000.0,7,23500.0,69.46299759551162,4800.0,2
33,80,2013,6,220000.0,1500.0,0,0,5000.0,10,24444.444444444445,69.46299759551162,4800.0,2
33,62,2008,4,232012.0,1500.0,0,0,3700.0,15,16572.285714285714,69.46299759551162,4800.0,1
18,112,2018,9,38999.0,2000.0,0,1,24800.0,5,9749.75,69.46299759551162,9600.0,0
27,95,2014,3,219000.0,1500.0,0,0,10999.0,9,27375.0,69.46299759551162,4800.0,2
19,53,2007,9,300000.0,2200.0,0,1,9200.0,16,20000.0,69.46299759551162,10560.0,1
22,11,1994,10,300000.0,200.0,3,0,18000.0,29,10714.285714285714,69.46299759551162,600.0,1
41,92,2011,4,121000.0,1800.0,2,1,7900.0,12,11000.0,69.46299759551162,6300.0,1
14,79,2004,11,250000.0,1500.0,0,0,4000.0,19,13888.888888888889,69.46299759551162,4800.0,1
41,24,2014,11,200000.0,1390.0,0,0,8600.0,9,25000.0,69.46299759551162,4448.0,2
1,93,2013,9,143000.0,2000.0,4,1,17850.0,10,15888.888888888889,69.46299759551162,9600.0,1
43,37,2013,11,174000.0,2000.0,0,0,9650.0,10,19333.33333333333,69.46299759551162,9600.0,1
43,61,2009,11,200000.0,1400.0,4,0,4800.0,14,15384.615384615385,69.46299759551162,4480.0,1
