Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
Toyota,Rare,2015,Minivan,102000.0,1800.0,Petrol,1,12500.0,8,14571.42857142857,69.46299759551162,6300.0,1
BMW,5 Series,2004,Sedan,2899.0,2500.0,Petrol,0,6100.0,19,161.05555555555554,69.46299759551162,12500.0,0
Mitsubishi,Outlander,2003,Crossover,208367.0,2000.0,Petrol,0,4600.0,20,10966.684210526317,69.46299759551162,9600.0,1
Volkswagen,Touran,2011,Minivan,168000.0,1400.0,Petrol,0,7999.0,12,15272.727272727272,69.46299759551162,4480.0,1
Toyota,Rare,2019,Hatchback,2500.0,1800.0,Plug-in Hybrid,1,18999.0,4,833.3333333333334,69.46299759551162,4500.0,0
Volkswagen,Transporter,2004,Microvan,190000.0,1896.0,Diesel,0,6300.0,19,10555.555555555557,69.46299759551162,9100.8,1
Skoda,Octavia,2011,Universal,210000.0,1400.0,Petrol,0,6400.0,12,19090.90909090909,69.46299759551162,4480.0,1
Lincoln,Rare,2014,Sedan,160000.0,2000.0,Hybrid,1,12200.0,9,20000.0,69.46299759551162,9600.0,1
Renault,Scenic,2004,Universal,180000.0,1500.0,Diesel,0,3300.0,19,10000.0,69.46299759551162,4800.0,0
Mercedes,Rare,1984,Universal,100000.0,2400.0,Diesel,0,1000.0,39,2631.5789473684213,69.46299759551162,12000.0,0
Toyota,Land Cruiser Prado,2007,Crossover,202000.0,2700.0,Metan/Propan,1,14600.0,16,13466.666666666666,69.46299759551162,13500.0,1
Volkswagen,Polo,2017,Hatchback,170000.0,1422.0,Diesel,0,8200.0,6,34000.0,69.46299759551162,4550.400000000001,2
Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,1,8400.0,10,22000.0,69.46299759551162,4480.0,2
KIA,Rio,2004,Universal,183454.0,1300.0,Petrol,0,2500.0,19,10191.888888888889,69.46299759551162,4160.0,1
BMW,X6,2013,Crossover,104000.0,2979.0,Petrol,1,30900.0,10,11555.555555555557,69.46299759551162,14895.0,1
Toyota,Corolla,2006,Hatchback,119000.0,1600.0,Petrol,1,5700.0,17,7437.5,69.46299759551162,5600.0,0
Opel,Corsa,2007,Hatchback,283000.0,1300.0,Diesel,0,3499.0,16,18866.666666666668,69.46299759551162,4160.0,1
Toyota,Auris,2017,Hatchback,146000.0,1800.0,Hybrid,1,11900.0,6,29200.0,69.46299759551162,6300.0,2
Nissan,Qashqai,2009,Crossover,202000.0,1990.0,Petrol,0,7100.0,14,15538.46153846154,69.46299759551162,9552.0,1
Ford,C-Max,2016,Microvan,141000.0,1500.0,Diesel,0,9000.0,7,23500.0,69.46299759551162,4800.0,2
Renault,Megane,2013,Minivan,220000.0,1500.0,Diesel,0,5000.0,10,24444.444444444445,69.46299759551162,4800.0,2
Renault,Grand Scenic,2008,Hatchback,232012.0,1500.0,Diesel,0,3700.0,15,16572.285714285714,69.46299759551162,4800.0,1
KIA,Sorento,2018,SUV,38999.0,2000.0,Diesel,1,24800.0,5,9749.75,69.46299759551162,9600.0,0
Nissan,Qashqai,2014,Crossover,219000.0,1500.0,Diesel,0,10999.0,9,27375.0,69.46299759551162,4800.0,2
Land Rover,Freelander,2007,SUV,300000.0,2200.0,Diesel,1,9200.0,16,20000.0,69.46299759551162,10560.0,1
Mazda,626,1994,Sedan,300000.0,200.0,Metan/Propan,0,18000.0,29,10714.285714285714,69.46299759551162,600.0,1
Toyota,Prius,2011,Hatchback,121000.0,1800.0,Hybrid,1,7900.0,12,11000.0,69.46299759551162,6300.0,1
Hyundai,Matrix,2004,Universal,250000.0,1500.0,Diesel,0,4000.0,19,13888.888888888889,69.46299759551162,4800.0,1
Toyota,Auris,2014,Universal,200000.0,1390.0,Diesel,0,8600.0,9,25000.0,69.46299759551162,4448.0,2
Audi,Q5,2013,SUV,143000.0,2000.0,Petrol,1,17850.0,10,15888.888888888889,69.46299759551162,9600.0,1
Volkswagen,Caddy,2013,Universal,174000.0,2000.0,Diesel,0,9650.0,10,19333.33333333333,69.46299759551162,9600.0,1
Volkswagen,Golf,2009,Universal,200000.0,1400.0,Petrol,0,4800.0,14,15384.615384615385,69.46299759551162,4480.0,1
Nissan,Qashqai,2007,Crossover,137660.0,1500.0,Diesel,0,6600.0,16,9177.333333333334,69.46299759551162,4800.0,0
Opel,Astra,2011,Universal,213548.0,1300.0,Diesel,0,5650.0,12,19413.454545454544,69.46299759551162,4160.0,1
Toyota,Yaris,2006,Sedan,193096.0,1500.0,Petrol,0,3700.0,17,12068.5,69.46299759551162,4800.0,1
Opel,Rare,1992,Coupe,400000.0,2000.0,Metan/Propan,0,1600.0,31,13333.333333333334,69.46299759551162,9600.0,1
Renault,Kadjar,2016,Crossover,150425.0,1500.0,Diesel,1,14990.0,7,25070.83333333333,69.46299759551162,4800.0,2
Ford,Fusion,2018,Sedan,105000.0,2000.0,Hybrid,1,15000.0,5,26250.0,69.46299759551162,9600.0,2
Volkswagen,Passat,2000,Combi,191000.0,1800.0,Metan/Propan,1,3850.0,23,8681.818181818182,69.46299759551162,6300.0,0
Renault,Clio,1998,Hatchback,129448.0,1600.0,Petrol,1,2399.0,25,5393.666666666667,69.46299759551162,5600.0,0
Renault,Rare,2015,Minivan,168000.0,1600.0,Diesel,1,18650.0,8,24000.0,69.46299759551162,5600.0,2
BMW,3 Series,1994,Sedan,180000.0,1600.0,Petrol,0,2400.0,29,6428.571428571428,69.46299759551162,5600.0,0
Skoda,Rare,2015,Crossover,150000.0,1400.0,Petrol,1,11000.0,8,21428.571428571428,69.46299759551162,4480.0,2
Land Rover,Rare,2007,SUV,223000.0,2700.0,Diesel,1,15000.0,16,14866.666666666666,69.46299759551162,13500.0,1
